frame_number,vehicle_count,processing_time_seconds
1,0,3.057621
2,0,0.095612
3,0,0.060464
4,0,0.055791
5,0,0.060373
6,0,0.058202
7,0,0.057267
8,0,0.056231
9,0,0.055844
10,0,0.055695
11,0,0.054139
12,0,0.053907
13,0,0.056028
14,0,0.055835
15,0,0.056658
16,0,0.057225
17,0,0.056184
18,0,0.055797
19,0,0.059014
20,0,0.057975
21,0,0.057277
22,0,0.058602
23,0,0.061486
24,0,0.064582
25,0,0.054392
26,0,0.053856
27,0,0.054766
28,0,0.052927
29,0,0.053712
30,0,0.053663
31,0,0.056901
32,0,0.05548
33,0,0.054518
34,0,0.054876
35,0,0.055242
36,0,0.054107
37,0,0.054778
38,0,0.056361
39,0,0.054095
40,0,0.053227
41,0,0.05347
42,0,0.05425
43,0,0.054698
44,0,0.056522
45,0,0.058634
46,0,0.063589
47,0,0.066318
48,0,0.065563
49,0,0.123424
50,0,0.0773
51,0,0.064084
52,0,0.068011
53,0,0.066522
54,0,0.060655
55,0,0.060659
56,0,0.069675
57,0,0.069548
58,0,0.083062
59,0,0.270454
60,0,0.059146
61,0,0.064019
62,0,0.143551
63,0,0.057404
64,0,0.056525
65,0,0.055573
66,0,0.056513
67,0,0.05641
68,0,0.055416
69,0,0.060593
70,0,0.058643
71,0,0.061869
72,0,0.060175
73,0,0.055274
74,0,0.055428
75,0,0.054623
76,0,0.055431
77,0,0.056257
78,0,0.056984
79,0,0.055749
80,0,0.059871
81,0,0.061089
82,0,0.056995
83,0,0.057894
84,0,0.060801
85,0,0.056021
86,0,0.058408
87,0,0.058159
88,0,0.055787
89,0,0.053561
90,0,0.055322
91,0,0.057104
92,0,0.054869
93,0,0.053131
94,0,0.053754
95,0,0.053813
96,0,0.055432
97,0,0.052972
98,0,0.053456
99,0,0.055252
100,0,0.056436
101,0,0.055992
102,0,0.055848
103,0,0.055946
104,0,0.05839
105,0,0.057984
106,0,0.05769
107,0,0.056922
108,0,0.058027
109,0,0.058888
110,0,0.059364
111,0,0.057242
112,0,0.054901
113,0,0.054251
114,0,0.054096
115,0,0.057329
116,0,0.054888
117,0,0.054063
118,0,0.054723
119,0,0.054325
120,0,0.054152
121,0,0.056702
122,0,0.056088
123,0,0.056257
124,0,0.060694
125,0,0.056633
126,0,0.06127
127,0,0.06068
128,0,0.057288
129,0,0.055879
130,0,0.058574
131,0,0.059123
132,0,0.057948
133,0,0.061595
134,0,0.05745
135,0,0.05543
136,0,0.057653
137,0,0.054623
138,0,0.056284
139,0,0.05487
140,0,0.055149
141,0,0.053005
142,0,0.052638
143,0,0.057179
144,0,0.054253
145,0,0.059657
146,0,0.059525
147,0,0.058957
148,0,0.056826
149,0,0.054671
150,0,0.055723
151,0,0.059329
152,0,0.056547
153,0,0.059469
154,0,0.057804
155,0,0.05677
156,0,0.057342
157,0,0.056035
158,0,0.057041
159,0,0.057543
160,0,0.059063
161,0,0.069651
162,0,0.063024
163,0,0.065697
164,0,0.064389
165,0,0.063277
166,0,0.065427
167,0,0.067041
168,0,0.064733
169,0,0.068665
170,0,0.082504
171,0,0.06745
172,0,0.056469
173,0,0.05526
174,0,0.067484
175,0,0.071491
176,0,0.066036
177,0,0.05896
178,0,0.054206
179,0,0.053213
180,0,0.055854
181,0,0.070087
182,0,0.095535
183,0,0.069288
184,0,0.059915
185,0,0.06065
186,0,0.061787
187,0,0.062871
188,0,0.061804
189,0,0.061475
190,0,0.084054
191,0,0.077584
192,0,0.056028
193,0,0.057302
194,0,0.058692
195,0,0.055457
196,0,0.054503
197,0,0.056419
198,0,0.058128
199,0,0.059338
200,0,0.054138
201,0,0.054379
202,0,0.071869
203,0,0.07132
204,0,0.06015
205,0,0.057398
206,0,0.056566
207,0,0.058741
208,0,0.055999
209,0,0.054177
210,0,0.053325
211,0,0.05906
212,0,0.058607
213,0,0.059008
214,0,0.052105
215,0,0.055869
216,0,0.068489
217,0,0.076404
218,0,0.071262
219,0,0.059028
220,0,0.069567
221,0,0.08012
222,0,0.070112
223,0,0.057818
224,0,0.080249
225,0,0.072937
226,0,0.055165
227,0,0.070324
228,0,0.076365
229,0,0.056472
230,0,0.066288
231,0,0.070746
232,0,0.063756
233,0,0.061901
234,0,0.063062
235,0,0.078605
236,0,0.06949
237,0,0.058227
238,0,0.058861
239,0,0.060332
240,0,0.059257
241,0,0.064905
242,0,0.060607
243,0,0.058932
244,0,0.054315
245,0,0.054562
246,0,0.056885
247,0,0.060394
248,0,0.057172
249,0,0.05672
250,0,0.060196
251,0,0.151231
252,0,0.063742
253,0,0.061117
254,0,0.069597
255,0,0.058745
256,0,0.058212
257,0,0.059555
258,0,0.059381
259,0,0.066433
260,0,0.058038
261,0,0.058937
262,0,0.061128
263,0,0.063506
264,0,0.060996
265,0,0.055961
266,0,0.054986
267,0,0.055557
268,0,0.056032
269,0,0.05893
270,0,0.061378
271,0,0.058984
272,0,0.056631
273,0,0.055463
274,0,0.055749
275,0,0.05541
276,0,0.055964
277,0,0.055485
278,0,0.064469
279,0,0.059062
280,0,0.057819
281,0,0.05682
282,0,0.053369
283,0,0.056332
284,0,0.054047
285,0,0.057136
286,0,0.05457
287,0,0.054819
288,0,0.0537
289,0,0.053895
290,0,0.054954
291,0,0.053187
292,0,0.054345
293,0,0.054606
294,0,0.052864
295,0,0.054537
296,0,0.055479
297,0,0.054944
298,0,0.053443
299,0,0.054933
300,0,0.052583
301,0,0.059882
302,0,0.054581
303,0,0.053711
304,0,0.054654
305,0,0.053102
306,0,0.052397
307,0,0.054537
308,0,0.053843
309,0,0.055182
310,0,0.053429
311,0,0.054003
312,0,0.05483
313,0,0.054466
314,0,0.053749
315,0,0.054649
316,0,0.054173
317,0,0.056991
318,0,0.054255
319,0,0.055665
320,0,0.053612
321,0,0.055007
322,0,0.055587
323,0,0.054367
324,0,0.053242
325,0,0.054299
326,0,0.052895
327,0,0.054091
328,0,0.054452
329,0,0.054464
330,0,0.056003
331,0,0.055899
332,0,0.055722
333,0,0.054648
334,0,0.052308
335,0,0.052448
336,0,0.051759
337,0,0.0535
338,0,0.05249
339,0,0.054823
340,0,0.053714
341,0,0.054362
342,0,0.053927
343,0,0.052823
344,0,0.053993
345,0,0.053479
346,0,0.054261
347,0,0.055021
348,0,0.055308
349,0,0.055425
350,0,0.054066
351,0,0.054621
352,0,0.053152
353,0,0.053315
354,0,0.052514
355,0,0.05514
356,0,0.052653
357,0,0.054383
358,0,0.054138
359,0,0.053856
360,0,0.052668
361,0,0.059336
362,0,0.054757
363,0,0.053584
364,0,0.054805
365,0,0.054634
366,0,0.053458
367,0,0.055635
368,0,0.053029
369,0,0.054226
370,0,0.055276
371,0,0.061589
372,0,0.057854
373,0,0.060928
374,0,0.061347
375,0,0.060225
376,0,0.06267
377,0,0.059834
378,0,0.05994
379,0,0.05959
380,0,0.057773
381,0,0.060439
382,0,0.06195
383,0,0.059865
384,0,0.061521
385,0,0.062984
386,0,0.056375
387,0,0.052411
388,0,0.052161
389,0,0.053013
390,0,0.056343
391,0,0.062528
392,0,0.060074
393,0,0.058553
394,0,0.057857
395,0,0.05662
396,0,0.060155
397,0,0.06052
398,0,0.054124
399,0,0.058151
400,0,0.054608
401,0,0.055981
402,0,0.055633
403,0,0.060115
404,0,0.055813
405,0,0.055785
406,0,0.055923
407,0,0.053511
408,0,0.054636
409,0,0.060124
410,0,0.055442
411,0,0.054598
412,0,0.05522
413,0,0.053534
414,0,0.05383
415,0,0.054462
416,0,0.053354
417,0,0.055716
418,0,0.053216
419,0,0.054807
420,0,0.056675
421,0,0.080054
422,0,0.055463
423,0,0.056695
424,0,0.056423
425,0,0.055061
426,0,0.05414
427,0,0.053881
428,0,0.061373
429,0,0.055591
430,0,0.056169
431,0,0.056407
432,0,0.055242
433,0,0.056782
434,0,0.056751
435,0,0.055276
436,0,0.058416
437,0,0.057595
438,0,0.061918
439,0,0.057361
440,0,0.05664
441,0,0.056581
442,0,0.055353
443,0,0.05446
444,0,0.054447
445,0,0.054863
446,0,0.0524
447,0,0.0547
448,0,0.052945
449,0,0.054237
450,0,0.055086
451,0,0.059824
452,0,0.055934
453,0,0.054756
454,0,0.053072
455,0,0.057395
456,0,0.054762
457,0,0.054152
458,0,0.053956
459,0,0.056697
460,0,0.054151
461,0,0.054946
462,0,0.055918
463,0,0.055986
464,0,0.056121
465,0,0.055402
466,0,0.060179
467,0,0.05659
468,0,0.055283
469,0,0.056433
470,0,0.05742
471,0,0.056239
472,0,0.054198
473,0,0.053856
474,0,0.053934
475,0,0.054497
476,0,0.054558
477,0,0.0553
478,0,0.054001
479,0,0.053639
480,0,0.054615
481,0,0.05833
482,0,0.0567
483,0,0.056318
484,0,0.060026
485,0,0.066162
486,0,0.085261
487,0,0.06901
488,0,0.064163
489,0,0.055844
490,0,0.059143
491,0,0.065313
492,0,0.06837
493,0,0.057289
494,0,0.056792
495,0,0.054976
496,0,0.054761
497,0,0.054202
498,0,0.066728
499,0,0.069749
500,0,0.057027
501,0,0.054901
502,0,0.055311
503,0,0.053065
504,0,0.053604
505,0,0.054593
506,0,0.055023
507,0,0.054057
508,0,0.053529
509,0,0.061781
510,0,0.062617
511,0,0.064478
512,0,0.056776
513,0,0.054232
514,0,0.056267
515,0,0.054799
516,0,0.054609
517,0,0.053011
518,0,0.055065
519,0,0.057769
520,0,0.053502
521,0,0.055308
