epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.8022,1.01199,2.68101,1.3555,0.90333,0.28634,0.54144,0.34137,1.02268,2.89617,1.34429,0.000546704,0.000546704,0.000546704
2,164.485,1.11292,1.79781,1.40368,0.78617,0.62043,0.71801,0.44302,1.32308,2.09556,1.58466,0.0010478,0.0010478,0.0010478
3,250.185,1.16139,1.63938,1.45423,0.63987,0.70369,0.67582,0.42446,1.19077,1.96366,1.54308,0.00149389,0.00149389,0.00149389
4,329.249,1.15067,1.63417,1.42661,0.82274,0.61253,0.71317,0.41642,1.28089,2.04254,1.63877,0.00141945,0.00141945,0.00141945
5,407.512,1.19656,1.50994,1.45721,0.72503,0.63261,0.67395,0.43018,1.20899,1.91935,1.57106,0.00133693,0.00133693,0.00133693
6,545.744,1.17416,1.48571,1.4534,0.65571,0.66675,0.6684,0.41316,1.25151,1.85662,1.59983,0.00125442,0.00125442,0.00125442
7,639.852,1.06438,1.41496,1.39686,0.73347,0.6616,0.71682,0.4747,1.17407,1.60038,1.52181,0.0011719,0.0011719,0.0011719
8,725.085,1.08352,1.40724,1.3876,0.68202,0.69216,0.72541,0.47227,1.15331,1.64306,1.46024,0.00108938,0.00108938,0.00108938
9,819.512,1.00832,1.25173,1.33361,0.91369,0.66914,0.7925,0.53796,1.10049,1.37776,1.43666,0.00100687,0.00100687,0.00100687
10,908.023,0.98936,1.23933,1.34118,0.85935,0.68981,0.78712,0.51561,1.16968,1.46464,1.53079,0.000924352,0.000924352,0.000924352
11,989.123,1.01151,1.43283,1.36365,0.84623,0.70018,0.80734,0.55183,1.08107,1.39776,1.3812,0.000841835,0.000841835,0.000841835
12,1070.52,0.95803,1.32718,1.3123,0.82401,0.72566,0.79137,0.57347,0.99014,1.28383,1.34351,0.000759318,0.000759318,0.000759318
13,1152.39,0.91056,1.22347,1.25582,0.82279,0.73348,0.80042,0.55865,1.02861,1.26473,1.35927,0.000676802,0.000676802,0.000676802
14,1235.54,0.88658,1.19155,1.26758,0.82145,0.70922,0.76543,0.52219,1.09693,1.36579,1.45093,0.000594286,0.000594286,0.000594286
15,1317.12,0.87678,1.17666,1.2539,0.80376,0.75098,0.77439,0.54986,1.01071,1.29498,1.37175,0.000511769,0.000511769,0.000511769
16,1397.74,0.84194,1.13804,1.22735,0.81729,0.76876,0.80721,0.59776,0.98805,1.19791,1.31204,0.000429253,0.000429253,0.000429253
17,1476.41,0.79272,1.06524,1.17331,0.84574,0.76368,0.83015,0.61852,0.91095,1.11805,1.27737,0.000346736,0.000346736,0.000346736
18,1559.18,0.78038,1.03435,1.18244,0.8741,0.75342,0.83558,0.62343,0.89743,1.09624,1.25892,0.00026422,0.00026422,0.00026422
19,1643.08,0.79095,1.04247,1.188,0.82893,0.77118,0.83427,0.62968,0.88997,1.07634,1.25556,0.000181703,0.000181703,0.000181703
20,1728.44,0.76948,1.00688,1.15377,0.85543,0.7508,0.83591,0.63008,0.88774,1.05835,1.26326,9.91865e-05,9.91865e-05,9.91865e-05
