image,status,class,confidence,reason
b15d6c0bdf90226d_jpg.rf.775557ba6aaf7d76a8d4bb04f66d8fc5.jpg,detected,vehicle,0.9461,Normal confidence
b15d6c0bdf90226d_jpg.rf.775557ba6aaf7d76a8d4bb04f66d8fc5.jpg,detected,license-plate,0.5405,Normal confidence
b193070a9c45b5ab_jpg.rf.57e5987eb896a7bf9fc7a1a96a660c7e.jpg,detected,vehicle,0.9411,Normal confidence
b193070a9c45b5ab_jpg.rf.57e5987eb896a7bf9fc7a1a96a660c7e.jpg,detected,license-plate,0.8271,Normal confidence
b193070a9c45b5ab_jpg.rf.57e5987eb896a7bf9fc7a1a96a660c7e.jpg,weak,vehicle,0.3757,Low confidence
b1a50a3824887ee2_jpg.rf.68a4fd34fce20184287592f2680f895b.jpg,detected,vehicle,0.9679,Normal confidence
b1a50a3824887ee2_jpg.rf.68a4fd34fce20184287592f2680f895b.jpg,detected,license-plate,0.9285,Normal confidence
b1a50a3824887ee2_jpg.rf.68a4fd34fce20184287592f2680f895b.jpg,detected,vehicle,0.8107,Normal confidence
b1a50a3824887ee2_jpg.rf.68a4fd34fce20184287592f2680f895b.jpg,detected,vehicle,0.6146,Normal confidence
b25d7d2cb7abf86b_jpg.rf.36edce738b0e69965e001035d6f85ab3.jpg,detected,vehicle,0.9939,Normal confidence
b25d7d2cb7abf86b_jpg.rf.36edce738b0e69965e001035d6f85ab3.jpg,detected,license-plate,0.9452,Normal confidence
b32671b7cc279583_jpg.rf.f898026e2169a3b6adc4d21aee6d06c5.jpg,detected,vehicle,0.9806,Normal confidence
b3b61da98e22cd4a_jpg.rf.e5f31065702d60c5746652895714f770.jpg,detected,vehicle,0.9372,Normal confidence
b3b61da98e22cd4a_jpg.rf.e5f31065702d60c5746652895714f770.jpg,weak,license-plate,0.3614,Low confidence
b5e7183b6a5abe6c_jpg.rf.fa89af80aebfc925bb0121ab5b024260.jpg,detected,vehicle,0.9647,Normal confidence
b5e7183b6a5abe6c_jpg.rf.fa89af80aebfc925bb0121ab5b024260.jpg,detected,license-plate,0.9485,Normal confidence
b5e7183b6a5abe6c_jpg.rf.fa89af80aebfc925bb0121ab5b024260.jpg,weak,vehicle,0.438,Low confidence
b6580dec5ada277d_jpg.rf.3ec17c0d68df1e6818d590e410bc3d00.jpg,detected,vehicle,0.9533,Normal confidence
b6580dec5ada277d_jpg.rf.3ec17c0d68df1e6818d590e410bc3d00.jpg,detected,license-plate,0.8398,Normal confidence
b6e55f97085c3732_jpg.rf.09a6d8dc1a08e66131bdb8b57377b05b.jpg,detected,license-plate,0.9036,Normal confidence
b6e55f97085c3732_jpg.rf.09a6d8dc1a08e66131bdb8b57377b05b.jpg,detected,vehicle,0.8813,Normal confidence
b6e55f97085c3732_jpg.rf.09a6d8dc1a08e66131bdb8b57377b05b.jpg,detected,vehicle,0.6258,Normal confidence
b6ecda23586a6ba5_jpg.rf.d737139968dd3f08447305aa7b7f6002.jpg,detected,vehicle,0.9653,Normal confidence
b6ecda23586a6ba5_jpg.rf.d737139968dd3f08447305aa7b7f6002.jpg,detected,license-plate,0.9579,Normal confidence
b6ecda23586a6ba5_jpg.rf.d737139968dd3f08447305aa7b7f6002.jpg,weak,vehicle,0.3354,Low confidence
b7cdb5c0c99002b7_jpg.rf.2c46810fbf4036039cb03a135e20e9c3.jpg,detected,license-plate,0.9691,Normal confidence
b7cdb5c0c99002b7_jpg.rf.2c46810fbf4036039cb03a135e20e9c3.jpg,detected,vehicle,0.9659,Normal confidence
